Crop Name,Recipe Name 1,Link1,Recipe Name 2,Link2,Recipe Name 3,Link 3
Pumpkin,Pumpkin Bars ,https://feelgoodfoodie.net/recipe/pumpkin-bars/,Spiced Pumplin Bread ,https://www.onceuponachef.com/recipes/spiced-pumpkin-bread.html,1-Bowl Pumplin Bread ,https://minimalistbaker.com/1-bowl-pumpkin-bread-v-gf/
Celery,Celery Soup ,https://www.feastingathome.com/celery-soup/,Celery Stir Fry ,https://www.simplyrecipes.com/recipes/celery_stir_fry/,Celery Juice ,https://www.bbcgoodfood.com/recipes/celery-juice
Onion,Balsamic Roasted Red Onions,https://www.feastingathome.com/balsamic-roasted-red-onions/,Sweet and Sour Onions,https://www.simplyrecipes.com/recipes/sweet_and_sour_onions/,Grilled Onions,https://www.recipetineats.com/caramelized-onions/
Garlic,Garlic Butter ,https://www.allrecipes.com/recipe/36925/garlic-butter/,Garlic Bread ,https://www.budgetbytes.com/garlic-bread/,Roasted Garlic,https://cookieandkate.com/garlic-bread-recipe/
Thyme,Collection of Best Thyme Recipes ,https://www.acouplecooks.com/thyme-recipes/,Collection of Fresh Thyme Recipes ,https://www.tasteofhome.com/collection/recipes-with-fresh-thyme/,Lemon Thyme Chicken,https://www.eatingwell.com/recipe/266068/lemon-thyme-chicken/
Rosemary,Rosemary Focaccia Bread ,https://www.gimmesomeoven.com/rosemary-focaccia-bread/,Delicious Rosemary Bread ,https://www.allrecipes.com/recipe/89376/delicious-rosemary-bread/,Rosemary Chicken Breast ,https://www.feastingathome.com/rosemary-chicken-breast/
Oregano,Greek Lemon Chicken with Oregano,https://www.recipetineats.com/greek-lemon-chicken-and-potatoes/,Baked Oregano Chicken,https://www.eatingwell.com/recipe/274329/baked-oregano-chicken/,Lebanese Fresh Oregano Salad ,https://plantbasedfolk.com/fresh-oregano-salad/
Parsley,Parsley Chimichurri Sauce,https://www.simplyrecipes.com/recipes/chimichurri/,Tabbouleh Salad with Parsley,https://cookieandkate.com/tabbouleh-recipe/,Parsley Pesto ,https://www.delish.com/cooking/recipe-ideas/a19885324/parsley-pesto-recipe/
Dill,Dill Sauce ,https://www.simplyrecipes.com/recipes/dill_sauce/,Collection of Dill Recipes ,https://www.acouplecooks.com/dill-recipes/,Dill Vegetable Dip,https://www.rachelcooks.com/2017/01/06/dill-vegetable-dip-skinny/
Chives,Collection of Fresh Chive Recipes ,https://www.tasteofhome.com/collection/fresh-chive-recipes/,Scrambled Eggs with Chives ,https://www.madewithlau.com/recipes/scrambled-eggs-with-chives,Healthy Chives Recipes ,https://www.healthyfood.com/ingredient/healthy-chives-recipes/
Mint,Cream Cheese Mints ,https://sugarspunrun.com/cream-cheese-mints/,Collection of Mint Recipes ,https://www.theclevermeal.com/mint-recipes/,Mint Chutney,https://www.seriouseats.com/mint-chutney-recipe
Sage,Collection of Sage Recipes ,https://insanelygoodrecipes.com/sage-recipes/,Butternut Squash with Sage,https://www.simplyrecipes.com/recipes/roasted_butternut_squash_with_sage/,20 Sage Recipes to Make All Year Round ,https://risegardens.com/blogs/communitygarden/20-sage-recipes-to-make-all-year-round
Brussels Sprouts,Roasted Brussels Sprouts ,https://www.loveandlemons.com/roasted-brussels-sprouts/,KISS (Keep It Simple) Brusssels Sprouts ,https://www.allrecipes.com/recipe/237093/kiss-keep-it-simple-brussels-sprouts/,Healthy Brussels Sprouts Recipe,https://ourplantbasedworld.com/healthy-brussel-sprouts-recipe/
Cabbage,Sauteed Cabbage ,https://www.wellplated.com/sauteed-cabbage/,Southern Fried Cabbage ,https://www.allrecipes.com/recipe/73833/southern-fried-cabbage/,Cabbage Stir Fry,https://downshiftology.com/recipes/sauteed-cabbage/
Mustard Greens,Sauteed Mustard Greens ,https://www.simplyrecipes.com/recipes/mustard_greens/,Asian-Inspired Mustard Greens ,https://www.allrecipes.com/recipe/218501/asian-inspired-mustard-greens/,Southern-Style Mustard Greens ,https://www.tastesjustlikeamemory.com/southern-style-mustard-greens/
Artichoke,How to Cook and Eat an Artichoke ,https://www.simplyrecipes.com/recipes/how_to_cook_and_eat_an_artichoke/,Amazing Roasted Artichokes ,https://www.gimmesomeoven.com/amazing-roasted-artichokes/,Mediterranean Roasted Artichoke ,https://www.themediterraneandish.com/mediterranean-roasted-artichoke-recipe/
Leek,Sauteed Leeks ,https://www.saltandlavender.com/sauteed-leeks/,Buttered Leeks ,https://www.thespruceeats.com/buttered-leeks-recipe-spring-leeks-4126572,Turkish Braised Leeks ,https://www.themediterraneandish.com/turkish-braised-leeks/
Raspberry,Raspberry Crisp ,https://www.thatskinnychickcanbake.com/raspberry-crisp/,Raspberry Crumble Bars ,https://pinchofyum.com/raspberry-crumble-bars,Healthy Raspberry Muffins ,https://www.ourhappymess.com/healthy-raspberry-muffins/
Blackberry,Blackberry Cobbler ,https://www.thepioneerwoman.com/food-cooking/recipes/a10191/blackberry-cobbler-recipe/,Easy Blackberry Crisp,https://chefsavvy.com/easy-blackberry-crisp/,Blackberry Crumble Bars ,https://dishingouthealth.com/blackberry-crumble-bars/
Peach,Peach Cobbler ,https://tastesbetterfromscratch.com/peach-cobbler/,Fresh Peach Crumb Bars ,https://www.savingdessert.com/fresh-peach-crumb-bars/,Healthy Peach Crisp,https://booboosbakery.com/healthy-peach-crisp/
Plum,Plum Crisp ,https://www.allrecipes.com/recipe/215138/plum-crisp/,Easy Plum Cobbler,https://www.savingdessert.com/easy-plum-cobbler/,Healthy Plum Oatmeal Bar Recipes ,https://thermalandoaks.com/healthy-plum-oatmeal-bar-recipes/
Pear,Easy Baked Pears ,https://www.faithfullyglutenfree.com/easy-baked-pears/,Delicious Easy Pear Crumble ,https://hotchocolatehits.com/2021/11/delicious-easy-pear-crumble.html/,Air Fryer Pears ,https://healthfulblondie.com/air-fryer-pears/
Fig,Simple Oven Roasted Figs ,https://www.giverecipe.com/simple-oven-roasted-figs/,Fast and Easy Fig Jam ,https://honestcooking.com/fast-and-easy-fig-jam/,Vegan and Gluten Free Oatmeal Fig Bars ,https://www.bakerita.com/oatmeal-fig-bars-gluten-free-vegan/
